assured_age,nominee_relation,occupation,policy sumassured,premium,premiumpaymentmode,annual income,holdermaritalstatus,indiv_requirementflag,policy term,policy payment term,product type,channel,fraud category
20,mother,service,"  1,200,000 ","  120,000 ",quarterly,"  420,000 ",single,non medical,10,10,ulip,retail agency,misrepresentation
33,husband,service,"  350,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
34,wife,self-employed,"  350,000 ","  5,000 ",yearly,"  249,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
34,wife,service,"  325,000 ","  5,000 ",yearly,"  360,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
54,husband,housewife,"  100,000 ","  5,000 ",yearly,"  600,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
45,son,agriculturist,"  175,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
32,husband,business,"  350,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
46,son,service,"  500,000 ","  50,000 ",yearly,"  780,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
43,wife,defense retired,"  2,000,000 ","  200,000 ",yearly,"  816,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
27,father,self-employed,"  990,000 ","  99,000 ",yearly,"  960,000 ",single,non medical,12,10,ulip,bancassurance,misrepresentation
40,wife,business,"  1,000,000 ","  100,000 ",yearly,"  1,200,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,son,business,"  990,000 ","  99,000 ",yearly,"  580,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
50,daughter,service,"  2,000,000 ","  200,000 ",yearly,"  7,200,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
54,spouse,housewife,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
52,husband,housewife,"  500,000 ","  50,000 ",yearly,"  600,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
45,daughter,housewife,"  500,000 ","  50,000 ",yearly,"  468,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
39,husband,service,"  4,000,000 ","  88,549 ",yearly,"  420,000 ",married,medical,10,10,traditional,bancassurance,misrepresentation
40,wife,service,"  1,100,000 ","  27,590 ",yearly,"  900,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
51,wife,service,"  700,000 ","  37,863 ",yearly,"  480,000 ",married,medical,10,10,traditional,bancassurance,misrepresentation
40,wife,service,"  1,316,000 ","  33,008 ",yearly,"  700,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
54,son,profession,"  2,300,000 ","  137,413 ",yearly,"  780,000 ",married,medical,16,10,traditional,bancassurance,misrepresentation
43,spouse,service,"  1,300,000 ","  40,303 ",yearly,"  624,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
53,wife,service,"  700,000 ","  42,372 ",yearly,"  540,000 ",married,medical,10,10,traditional,bancassurance,misrepresentation
